datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,date,hour,month,day,season_label,weather_label,casual_ratio,registered_ratio,temp_bucket,humidity_bucket
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,2011-01-01,0,1,Saturday,Spring,Clear,0.1875,0.8125,0-10,"(80.0, 100.0]"
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,2011-01-01,1,1,Saturday,Spring,Clear,0.2,0.8,0-10,"(60.0, 80.0]"
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,2011-01-01,2,1,Saturday,Spring,Clear,0.15625,0.84375,0-10,"(60.0, 80.0]"
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,2011-01-01,3,1,Saturday,Spring,Clear,0.23076923076923078,0.7692307692307693,0-10,"(60.0, 80.0]"
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,2011-01-01,4,1,Saturday,Spring,Clear,0.0,1.0,0-10,"(60.0, 80.0]"
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,2011-01-01,5,1,Saturday,Spring,Cloudy,0.0,1.0,0-10,"(60.0, 80.0]"
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,2011-01-01,6,1,Saturday,Spring,Clear,1.0,0.0,0-10,"(60.0, 80.0]"
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,2011-01-01,7,1,Saturday,Spring,Clear,0.3333333333333333,0.6666666666666666,0-10,"(80.0, 100.0]"
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,2011-01-01,8,1,Saturday,Spring,Clear,0.125,0.875,0-10,"(60.0, 80.0]"
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,2011-01-01,9,1,Saturday,Spring,Clear,0.5714285714285714,0.42857142857142855,10-20,"(60.0, 80.0]"
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,2011-01-01,10,1,Saturday,Spring,Clear,0.3333333333333333,0.6666666666666666,10-20,"(60.0, 80.0]"
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,2011-01-01,11,1,Saturday,Spring,Clear,0.4642857142857143,0.5357142857142857,10-20,"(80.0, 100.0]"
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,2011-01-01,12,1,Saturday,Spring,Clear,0.34523809523809523,0.6547619047619048,10-20,"(60.0, 80.0]"
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,2011-01-01,13,1,Saturday,Spring,Cloudy,0.5,0.5,10-20,"(60.0, 80.0]"
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,2011-01-01,14,1,Saturday,Spring,Cloudy,0.330188679245283,0.6698113207547169,10-20,"(60.0, 80.0]"
